type	title	URL	comment	UNRELATED	NEUT	POS	NEG	GIOIA	FIDUCIA	TRISTEZZA	RABBIA	PAURA	DISGUSTO	SORPRESA	TREPIDAZIONE	SARCASM	EMOTIONS
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Per il video ha racimolato un cavallo della Ferrari, 12 ballerine brave ma (tirocinanti) la location sarà roba sua ... totale 2 € di video	0	0	0	1	0	0	0	1	0	1	0	0	0	CONTEMPT
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Mi piace questa versione di Elettra, più dolce, raffinata, elegante, brava!	0	0	1	0	1	1	0	0	0	0	1	0	0	TRUST - DELIGHT
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	MUSICA E BUGO SCOMPARE, MUSICA E BUGO SCOMPARE NUOVO SINGOLO DI ELETTRA	0	1	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Che bello quando guardavamo sanremo e non c'era il coronavirus	0	1	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Molto bella la canzone,ieri si è rivelata semplicemente umana e che l'emozione colpisce tutti anche chi è abituato ai riflettori,grade elettra	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Musica e tua madre scompare	1	0	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Dove sono i cinquantenni indignati contro il twerk? Palesatevi	0	1	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	IL CARCINOMA DELLA MUSICA ODIERNA. SE FOSSI RICCO PAGHEREI UN SICARIO PER FARLA FUORI.	0	0	0	1	0	0	0	1	0	0	0	0	0	ANGER
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Ti adoro sei lamugliore mi sono iscrita❤	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Io credo che sia diversa dal suo genere è stato un peccato non ascoltare bene a Sanremo la sua voce per via dell'emozione come è successo ad altri cantanti...la adoro già ed è molto emozionante,continua così Elettra ❤️❤️❤️	0	0	1	0	1	1	1	0	0	0	0	0	0	LOVE - SENTIMENTALITY
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	❤❤❤❤❤❤❤❤	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Elettra Lamborghini che twerka in faccia all'alta borghesia di sanremo è già il momento piu alto del 2020	0	0	1	0	1	0	0	0	0	0	0	0	0	JOY
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	L'amuchina lui scompare, la mascherina lui scompare,alla coop tutto scompare (copiato da una parodia)	0	1	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Raffinata, brava ,bella ,e ama la musica prima di tutto! .Ritmo perfetto!	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Questa ragazza mi piace, perché nonostante la prendano in giro, lei sorride sempre. Addirittura posta le battute o foto comiche su di lei, senza problemi.	0	0	1	0	1	0	0	0	0	0	1	0	0	DELIGHT
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	PER ME questa canzone è bella molto orecchiabile,si vede che Elettra ci ha messo se stessa un enorme complimento alle ballerine veramente perfette e bravissime	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	La canzone è bella, funzionerebbe bene in radio, purtroppo ieri a Sanremo Elettra era molto emozionata, ma ci sta, è umana. Il video musicale è di alta qualità, fatto bene, complimenti	0	0	1	0	0	1	1	0	0	0	0	0	0	TRUST - SADNESS
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	ELETTRA NUMERO UNO!!!!	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Complimenti brava è una bella canzone.	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Sarò strano io, ma sto pezzo rimane in testa, a me piace	0	0	1	0	1	0	0	0	0	0	1	0	0	DELIGHT
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Ciao Elettra Lamborghini	0	1	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Ciao Ragazzi ho appena fatto uscire il mio primo singolo Farfalle 🦋, conta molto per me promuovere il singolo in questo momento dove non si possono neanche fare esibizioni live. Date un’occhiata🖤🦋🙏🏻 https://ampl.ink/Laz3Q 🥰	1	0	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	dite quello che volete, ma questo pezzo ci accompagnerà a martello per mesi	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Che bella eletta e a una voce bellissima	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Elettraaaaaa sei uno spaaasssoooooo TOP	0	0	1	0	1	0	0	0	0	0	0	1	0	OPTIMISM
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Caio ELETTRA SEI PIÙ BRAVA DI ME MUSICA TEMPO SCOMPARE	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Musica e il virus scompare	1	0	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Io non capisco Chi ha osato mettere dislike fa schifo pk io Elettra la stimo ❤️ Dopo tutte le prese in giro lei sta ancora andando avanti Elettra continua così ❤️❤️❤️ ❤️	0	0	1	0	1	1	0	1	0	0	0	0	0	LOVE - ANGER
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Ti adoro il mio idolo❤️❤️	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	ciao persona che legge i messaggi mentre ascolta musica	1	0	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Ciao Elettra come stai lo e mia sorella ti amiamo moltissimo	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	❤️❤️❤️❤️❤️❤️	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Anche se non ha vinto a Sanremo questa bellissima canzone, però è diventato un vero tormentone, è la canzone più ascoltata da dopo Sanremo, mi dispiace dirlo ma la canzone di Diodiato non è stata apprezzata come questa è una vera perla❤	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	tante critiche a lei e la sua canzone, io dico che ce n'erano almeno 15 peggio....poteva arrivare tranquillamente tra le prime 8.....canticchiabile, orecchiabile, lei dolce e bella	0	0	1	0	0	1	1	0	0	0	1	0	0	TRUST - DISAPPOINTMENT
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	LA ADORO ❤️ MI PIACE TANTISSIMO ❤	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Questa canzone è così bella che l'ascolto mentre mangio	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Non mi capacito di come possa piacermi questa canzone, ma prende troppo come despacito. Ciao Elettra, ti chiamo col tuo nome!!	0	0	1	0	1	0	0	0	0	0	1	0	0	DELIGHT
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	bellissimaa me la sento anche quando dormo e sto sveglia per elettra tutto vorrei che fosse la mia sorella	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Ti voglio tanto bene,♥️	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Adoro questa canzone	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	N c s. Potremmo fare tanta bella musica ma ci riduciamo a questo.	0	0	0	1	0	0	1	0	0	0	1	0	0	DISAPPOINTMENT
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Brava! Elettra mi piace la canzone e bellissima brava davvero. A eti volevo dire che sei bellissima ❤e so anche che ti piacciono i cavalli anche a me piacciono ❤	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Elettra io avevo il cuore spento ma tu me l' hai riacceso grazie.	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	La canzone più bella del festival terzultima poi quella più brutta arriva prima	0	0	1	0	0	1	1	0	0	0	1	0	0	TRUST - DISAPPOINTMENT
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	elettra mi piaci tanto sei bellissima quando twerki davvero mi piace quando dici ridi cretino	0	0	1	0	1	0	0	0	0	0	1	0	0	DELIGHT
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	questa canzone e' bellissima la adoro	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	intanto questa canzone passerà il radio molto più di tutte quelle arrivate alte in classifica. A me piace	0	0	1	0	1	0	0	0	0	0	1	0	0	DELIGHT
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Elettra Lamborghini ti amooooooo ❤️ ci baciamo in bocca	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Se la avesse pubblicata a fine maggio, sarebbe diventata probabilmente il tormentone dell'estate 2020	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Musica e divertimento fino al mattino	0	0	1	0	1	0	0	0	0	0	0	0	0	JOY
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Elettra e un po' così ma alla fine della storia e molto brava e intelligente così sia	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Andate tutti a vederla è una bellissima canzone che parla dell'amore infinito ❤ https://youtu.be/Gvi5ckGIoG8	1	0	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Adoro questa canzone❤️	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Video stupendo, però mi manca il twerk  Elettra sei unica ❤	0	0	1	1	0	1	1	0	0	0	0	0	0	TRUST - SADNESS
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	E una canzone bellissima ❤️	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Bella MI piace é mio preferito.	0	0	1	0	1	0	0	0	0	0	1	0	0	DELIGHT
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Bella la canzone ❤❤❤	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Ciao elettra. Sei bravissimaaaa a mi presento sono Victoria un bacio ciao ☺buona notte	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Queen! Grande Elettraaaaaaaaaaa	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	All inizio cosa stava vedendo il cavallo??	0	1	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Ma nel video non dovrebbero esserci dei tori (lamborghini) anziché i cavalli?	0	1	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Ele ti seguo da un po	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	In questo video ci sono niente culi e niente twerk	0	1	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Ho rivalutato Elettra ha più cervello di molte finte moraliste intelligenti	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Punto primo...amo sta canzone ma davvero tanto, Punto secondo... quanto cavolo puoi essere bella❤❤❤	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Un sole ❤️ allegra vera sincera bellissima	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	La parte che mi piace di più e " anche se non mi hai detto mai quanto sei bella, e non ho mai smesso di sorridere	0	0	1	0	1	0	0	0	0	0	1	0	0	DELIGHT
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Solo io penso che dica "musica e il resto scompare "	0	1	0	0	0	0	0	0	0	0	0	0	0	
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Voglio dire che mi hai cambiato la vita♥️♥️♥️	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	QUEEN!! ✈️❤️	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Il twerkone sul palco di Sanremo è tutto il 2020.	0	0	1	0	1	0	0	0	0	0	0	0	0	JOY
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	E la canzone più bella che ai mai fatto ti amo Elettra Lamborghini ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Elettra elegante è stupenda !	0	0	1	0	1	0	0	0	0	0	0	0	0	JOY
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Ciao eletra mi piaciono tu le tu canzoni	0	0	1	0	1	0	0	0	0	0	1	0	0	DELIGHT
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Di una dolcezza e sincerità totalmente sfrontata. È assolutamente adorabile. Chi critica non riesce ad andare oltre le 'finte' apparenze.	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Tutti che ascoltano Diodato ma alla fine su Spotify andiamo tutti ad ascoltare INNAMORATA DI UN ALTRO CABRÒN	0	0	1	0	1	1	0	0	0	0	0	0	0	LOVE
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Troppo bella e brava a cantare	0	0	1	0	0	1	0	0	0	0	0	0	0	TRUST
YouTube music video	Elettra Lamborghini - Musica (E Il Resto Scompare)	https://www.youtube.com/watch?v=-8B-msCuuFA	Perché sta merda ha tutte ste views?	0	0	0	1	0	0	0	1	0	0	1	0	0	OUTRAGE
